quote_date,method,training_observations,validation_observations,log_iv_rmse,log_iv_mae,iv_rmse,r_squared
2013-01-02,b_spline,137,35,0.0010635619834574415,0.0006436109402952044,0.00030933792787829777,0.9999621491397362
2013-01-02,linear,137,35,0.005457710546775037,0.0010070593123834546,0.0010810430937119328,0.9990032846616479
2013-01-02,polynomial,137,35,0.060897207853413085,0.0500527526677635,0.015734141987801722,0.8759076796993797
2013-01-02,thin_plate,137,35,0.007595787201818061,0.0036679380478473584,0.0022593773601875065,0.9980693847933839
2013-01-09,b_spline,136,35,0.0010867242553830516,0.0007009732008603997,0.00030642330746799736,0.999966636193483
2013-01-09,linear,136,35,0.005429140381143681,0.0009990094499858833,0.0010439312113879303,0.9991672799614041
2013-01-09,polynomial,136,35,0.06100443471046342,0.04878516628677158,0.016038813724603487,0.8948620058287868
2013-01-09,thin_plate,136,35,0.008068262978384321,0.004286907091220054,0.0023439942388426274,0.9981609354902672
2013-01-16,b_spline,136,35,0.0010962554693660443,0.0007075668491666599,0.0003073943001449928,0.9999657867737852
2013-01-16,linear,136,35,0.005614224781320159,0.00103230317315161,0.0010778691775190708,0.9991026743621128
2013-01-16,polynomial,136,35,0.062031119222048556,0.049600810198263456,0.016185387553468752,0.8904557170321173
2013-01-16,thin_plate,136,35,0.008114439472018311,0.004323587764873198,0.0023401891909571927,0.9981254909876199
2013-01-23,b_spline,136,35,0.0011161726439481822,0.0007196043561575787,0.0003063001842003974,0.9999661191286824
2013-01-23,linear,136,35,0.005818173845756284,0.0010664764479731176,0.0010840632181239346,0.999079412211972
2013-01-23,polynomial,136,35,0.06359054119203585,0.050908225549738506,0.01620295089627466,0.8900293317169583
2013-01-23,thin_plate,136,35,0.008273506087197008,0.004405761583371698,0.0023368885172856298,0.9981384658680736
2013-01-30,b_spline,137,35,0.0010536162328507544,0.0006411369959628337,0.0003126992185904029,0.9999586486631846
2013-01-30,linear,137,35,0.005496368606137227,0.0010177260560602468,0.001140414241142035,0.9988746791938771
2013-01-30,polynomial,137,35,0.060234547388977926,0.04931865101012225,0.015958589734539265,0.8648500309496406
2013-01-30,thin_plate,137,35,0.007399970928710855,0.0036050130476904876,0.00223961482563069,0.9979602136788974
2013-02-06,b_spline,137,35,0.0010501636009777613,0.0006383928945429496,0.0003129369723238426,0.9999595058653312
2013-02-06,linear,137,35,0.005429382013558034,0.0010051293688836172,0.001125496482935827,0.9989176218919431
2013-02-06,polynomial,137,35,0.05995399073228828,0.04912094552229127,0.015932434269365043,0.8680180949088623
2013-02-06,thin_plate,137,35,0.0074049129222168745,0.0035993172648418233,0.0022501441661875077,0.9979866554119958
2013-02-13,b_spline,137,35,0.0010457854876726937,0.0006359233011107143,0.00031253529983773007,0.9999599536031761
2013-02-13,linear,137,35,0.005346829166767059,0.000990311924557747,0.0011099203454954007,0.9989531828195184
2013-02-13,polynomial,137,35,0.059481887649802494,0.04874678771868748,0.015863641757934966,0.8704469298037688
2013-02-13,thin_plate,137,35,0.007383856187489429,0.0035834573429489908,0.0022517720177020286,0.9980036132267618
2013-02-20,b_spline,137,35,0.0010384331982379337,0.0006295171165133975,0.00031275547007501874,0.9999615585550311
2013-02-20,linear,137,35,0.005190218440454613,0.0009615464911326414,0.0010759836519401832,0.9990396846984889
2013-02-20,polynomial,137,35,0.05877647216662508,0.04822651583215985,0.015780175745025448,0.8768456922290168
2013-02-20,thin_plate,137,35,0.00738637082613973,0.0035687120774011484,0.002271301695436786,0.9980550663484045
2013-02-27,b_spline,136,35,0.001074773204677156,0.0006950088849261325,0.0003080126647761294,0.9999654770891085
2013-02-27,linear,136,35,0.0054011025140983495,0.0009962199238195586,0.0010684901594159792,0.9991281563933948
2013-02-27,polynomial,136,35,0.060390303966527274,0.0482287649422643,0.016134692079207844,0.8910045979839922
2013-02-27,thin_plate,136,35,0.007946592307963695,0.0042347544302084525,0.0023395755254194644,0.9981127231553829
2013-03-06,b_spline,136,35,0.0011066253405019814,0.0007172245836892291,0.00030509623387239414,0.9999631520178053
2013-03-06,linear,136,35,0.005899996541888448,0.0010851604381901898,0.0011345217573302552,0.9989525917188892
2013-03-06,polynomial,136,35,0.06329553118496425,0.050543166381234614,0.016234069445353234,0.8794523948826594
2013-03-06,thin_plate,136,35,0.008107334006039682,0.004348484187927301,0.002293283327236607,0.998022262629056
2013-03-13,b_spline,136,34,0.0009639302253072773,0.0006624628921908058,0.0001965124010662777,0.9999375429876143
2013-03-13,linear,136,34,0.006168864944086204,0.0011213770290577514,0.0011440483941515453,0.9974420000370628
2013-03-13,polynomial,136,34,0.0697147779585648,0.05519749226327776,0.01482440928204791,0.6733070923371427
2013-03-13,thin_plate,136,34,0.00428612685934969,0.003184606479016462,0.0008648938141625672,0.9987651333798703
2013-03-20,b_spline,136,35,0.001098956934361557,0.0007129032839463026,0.0003039184278703915,0.9999630843578032
2013-03-20,linear,136,35,0.005809778665720736,0.0010699772570827548,0.0011238099058145886,0.9989682647818398
2013-03-20,polynomial,136,35,0.06263050208427816,0.049993056053927246,0.01613800615411583,0.8800995350941541
2013-03-20,thin_plate,136,35,0.008048384645378513,0.004316059027813239,0.0022845319128636707,0.9980199939002907
2013-03-27,b_spline,137,35,0.0010465953629927647,0.0006379783675822497,0.00031192620250821145,0.99995846747239
2013-03-27,linear,137,35,0.005419014017440983,0.0010045124252139484,0.0011326891905094867,0.998886548515074
2013-03-27,polynomial,137,35,0.05961969422045082,0.048792724789713735,0.015887386357940656,0.865224721313196
2013-03-27,thin_plate,137,35,0.0073428416411855605,0.0035768443273144117,0.002231849312318651,0.997955632000903
2013-04-03,b_spline,136,34,0.0009613195990810134,0.0006614767699581241,0.00019712188022456912,0.9999394375028681
2013-04-03,linear,136,34,0.006094472833832289,0.001107191558711999,0.0011333539915544615,0.9975658884812757
2013-04-03,polynomial,136,34,0.06953608179451506,0.05506494065745181,0.014877085985279814,0.6831245368145551
2013-04-03,thin_plate,136,34,0.004271538704698,0.0031756811208826295,0.0008672259791186726,0.998804259684097
2013-04-10,b_spline,137,35,0.0010460847599731984,0.0006374351522270886,0.00031027478913554665,0.9999590110198487
2013-04-10,linear,137,35,0.005378470686140751,0.0009969940944106273,0.0011155845015929813,0.998916444964939
2013-04-10,polynomial,137,35,0.05947469406307222,0.04869924566633005,0.015777689479155393,0.8675055166382619
2013-04-10,thin_plate,137,35,0.007355728480521624,0.003577553702169998,0.002227228141081232,0.9979733220501538
2013-04-17,b_spline,137,35,0.0010602743153260686,0.0006459293315489476,0.00030999540241586536,0.999958165249871
2013-04-17,linear,137,35,0.005588967744411158,0.0010342215464032467,0.0011443085739012162,0.9988375777777933
2013-04-17,polynomial,137,35,0.06079433017929287,0.049768716392381035,0.01587307337438163,0.862460686227663
2013-04-17,thin_plate,137,35,0.0074342968179055904,0.003625483496399021,0.0022173360044893905,0.997943254808997
2013-04-24,b_spline,139,35,0.0007631797590447278,0.0005044089453810852,0.00017840955738467867,0.9999620753112904
2013-04-24,linear,139,35,0.0049071458879876104,0.0008294590451612611,0.001087276441721274,0.9984320714184574
2013-04-24,polynomial,139,35,0.055687102764379326,0.043652270714364214,0.01370023965258945,0.7980808150767004
2013-04-24,thin_plate,139,35,0.003303766792209118,0.0024778536495373617,0.0008429652373174451,0.999289298708343
2013-05-01,b_spline,139,35,0.0007646013811448225,0.0005070765119476953,0.00017897089252604263,0.9999605814125383
2013-05-01,linear,139,35,0.005040069568345565,0.0008519272479630009,0.0011194418762445633,0.9982872106125625
2013-05-01,polynomial,139,35,0.056129972675956215,0.04401895471061721,0.013780944105238465,0.7875676943236762
2013-05-01,thin_plate,139,35,0.003310827211408127,0.002483326345774081,0.0008412624690667657,0.999260898756147
2013-05-08,b_spline,139,35,0.0007666486991336233,0.0005055039552452582,0.00017802968712924303,0.9999628818842247
2013-05-08,linear,139,35,0.004840936571916384,0.0008182676281252085,0.0010643645670300789,0.9985200334468008
2013-05-08,polynomial,139,35,0.055600204303400215,0.04357323065714454,0.013621257831637042,0.8047702983164396
2013-05-08,thin_plate,139,35,0.0033116336092188095,0.0024835117037170624,0.0008425976659840167,0.9993074076680961
2013-05-15,b_spline,138,35,0.0006227334406142425,0.00046617633795324384,0.00014600576794848808,0.9999783287208268
2013-05-15,linear,138,35,0.004997979060127239,0.0008448126535421326,0.0010648107992244802,0.9986040526595502
2013-05-15,polynomial,138,35,0.04936696643127496,0.041140626542567664,0.01212485007208203,0.8638075436021913
2013-05-15,thin_plate,138,35,0.0030943278123582133,0.0021234715044318874,0.0007842923390530057,0.9994649272759741
2013-05-22,b_spline,138,35,0.0006197736297558005,0.0004646216413249249,0.0001474812936242599,0.9999767863843418
2013-05-22,linear,138,35,0.00505364458284159,0.0008542218442148768,0.0011008487042067003,0.9984565733587447
2013-05-22,polynomial,138,35,0.049054917092152775,0.04085471504041014,0.012191195320794148,0.8545741221523347
2013-05-22,thin_plate,138,35,0.003044495568909138,0.0020937659568393725,0.0007805093854952609,0.9994398461896199
2013-05-29,b_spline,137,35,0.0010404291687968802,0.0006340094513331744,0.0003119721853879562,0.9999592292139345
2013-05-29,linear,137,35,0.005300839204312074,0.0009830986160468402,0.0011112807150709253,0.9989416890070846
2013-05-29,polynomial,137,35,0.05896740222379482,0.048282018007743656,0.015816434051660583,0.8690371741814704
2013-05-29,thin_plate,137,35,0.007316925905329755,0.0035560798793750578,0.0022391102769290833,0.997983578309051
2013-06-05,b_spline,137,35,0.0010619617780119395,0.0006437389764222066,0.0003112112624420469,0.9999610156969962
2013-06-05,linear,137,35,0.005509920866807924,0.001017468937169852,0.0011087252975210055,0.9989505476480973
2013-06-05,polynomial,137,35,0.060938237999626055,0.050025131824010104,0.015875232542929302,0.8716334742041975
2013-06-05,thin_plate,137,35,0.007546925427238951,0.0036569335153218015,0.002258461757270666,0.998031152315021
2013-06-12,b_spline,137,35,0.0010620419600208834,0.000646859901794139,0.00030990952165682264,0.9999580780013707
2013-06-12,linear,137,35,0.00563554998031143,0.0010426023302053699,0.001151909058954572,0.9988195944577869
2013-06-12,polynomial,137,35,0.06108531710897746,0.05000356431404115,0.015910411791727284,0.8613141049064865
2013-06-12,thin_plate,137,35,0.007451578343625709,0.003636871124204959,0.002217510957625277,0.9979362590962695
2013-06-19,b_spline,137,35,0.0010438628475432847,0.0006399396000919908,0.00031208288252704123,0.999956324753415
2013-06-19,linear,137,35,0.005471289743081351,0.0010157037446683758,0.001163155594321003,0.9988001473562214
2013-06-19,polynomial,137,35,0.059471422562142405,0.04856956486937861,0.01594305537653679,0.85823626786613
2013-06-19,thin_plate,137,35,0.0072550619591312425,0.0035515104254147723,0.002209588716985556,0.9978902512629461
2013-06-26,b_spline,137,35,0.0010474410769760537,0.0006403814742167288,0.00030955544589586785,0.9999574735183543
2013-06-26,linear,137,35,0.005460268034868167,0.0010127068048426478,0.0011391719567809557,0.9988443450742488
2013-06-26,polynomial,137,35,0.05967770886115054,0.04879768102716713,0.015801863392551296,0.8619537754327303
2013-06-26,thin_plate,137,35,0.007318174058122017,0.003572554816821949,0.002206273094639921,0.9979241033876978
2013-06-28,b_spline,137,35,0.00106121059247883,0.0006454454508882903,0.0003073988916016659,0.999959713011689
2013-06-28,linear,137,35,0.00553660867828982,0.0010234366658574308,0.0011123591675706252,0.9989033973064723
2013-06-28,polynomial,137,35,0.06080264119922953,0.049851198019302885,0.015713118614865247,0.8677466931344359
2013-06-28,thin_plate,137,35,0.007496247221437269,0.00364185602595327,0.0022189119372764392,0.9979897528651998
